PAYS,Code,Location,Longitude,Latitude,Date,I_131_(Bq/m3),Cs_134_(Bq/m3),Cs_137_(Bq/m3)
SE,1,RISOE,12.07,55.7,86/04/27,1,0,0.24
SE,1,RISOE,12.07,55.7,86/04/28,0.0046,0.00054,0.00098
SE,1,RISOE,12.07,55.7,86/04/29,0.0147,0.0043,0.0074
SE,1,RISOE,12.07,55.7,86/04/29,0.00061,0,0.00009
SE,1,RISOE,12.07,55.7,86/04/30,0.00075,0.0001,0.00028
SE,1,RISOE,12.07,55.7,86/05/01,0.00053,0,0.0002
SE,1,RISOE,12.07,55.7,86/05/02,0.0176,0,0.00022
SE,1,RISOE,12.07,55.7,86/05/03,0.2239,0.00212,0.00356
SE,1,RISOE,12.07,55.7,86/05/04,0.41,0.0142,0.0227
SE,1,RISOE,12.07,55.7,86/05/04,0.264303,0.014342,0.023966
SE,1,RISOE,12.07,55.7,86/05/05,0.362,0.00965,0.01544
SE,1,RISOE,12.07,55.7,86/05/05,0.28,0.0046,0.00741
SE,1,RISOE,12.07,55.7,86/05/06,0.334,0.0073,0.0124
SE,1,RISOE,12.07,55.7,86/05/06,0.164,0.0039,0.0064
SE,1,RISOE,12.07,55.7,86/05/07,0.496,0.0824,0.1544
SE,1,RISOE,12.07,55.7,86/05/11,0.017902,0.007964,0.014449
SE,1,RISOE,12.07,55.7,86/05/13,0.004299,0.000464,0.000739
SE,1,RISOE,12.07,55.7,86/05/14,0.008252,0.001236,0.002272
SE,1,RISOE,12.07,55.7,86/05/15,0.003245,0.000487,0.000881
SE,1,RISOE,12.07,55.7,86/05/16,0.001505,0.000169,0.000292
SE,1,RISOE,12.07,55.7,86/05/17,0.002772,0.000451,0.000783
SE,1,RISOE,12.07,55.7,86/05/18,0.001664,0.000388,0.000745
SE,1,RISOE,12.07,55.7,86/05/19,0.002248,0.001367,0.002421
SE,1,RISOE,12.07,55.7,86/05/20,0.002507,0.001439,0.002599
SE,1,RISOE,12.07,55.7,86/05/21,0.002007,0.000783,0.001323
SE,1,RISOE,12.07,55.7,86/05/22,0.00281,0.001022,0.001773
SE,1,RISOE,12.07,55.7,86/05/25,0.001805,0.001221,0.002275
SE,1,RISOE,12.07,55.7,86/05/26,0.001029,0.000749,0.0013
SE,1,RISOE,12.07,55.7,86/05/27,0.000517,0.000315,0.000594
SE,1,RISOE,12.07,55.7,86/05/28,0.000482,0.000196,0.00033
SE,1,RISOE,12.07,55.7,86/05/29,0.000533,0.000146,0.00033
DE,2,AACHEN(DWD),6.1,50.76,86/05/02,1.905,0.592,
DE,2,AACHEN(DWD),6.1,50.76,86/05/03,2.257,0.592,
DE,2,AACHEN(DWD),6.1,50.76,86/05/04,0.684,0.2,
DE,2,AACHEN(DWD),6.1,50.76,86/05/05,0.074,0,
DE,2,AACHEN(DWD),6.1,50.76,86/05/06,0.054,0.022,
DE,2,AACHEN(DWD),6.1,50.76,86/05/07,0.04,0.0081,
DE,2,AACHEN(DWD),6.1,50.76,86/05/08,0.0085,0.0012,
DE,2,AACHEN(DWD),6.1,50.76,86/05/09,0.0067,0.0005,
DE,2,AACHEN(DWD),6.1,50.76,86/05/10,0.0052,0.0007,
DE,2,AACHEN(DWD),6.1,50.76,86/05/11,0.0063,0.0007,
DE,2,AACHEN(DWD),6.1,50.76,86/05/12,0.006,0.001,
DE,2,AACHEN(DWD),6.1,50.76,86/05/19,0.0029,0.00082,
DE,2,AACHEN(DWD),6.1,50.76,86/05/26,0.0017,0.00077,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/01,0,0.07,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/02,0,0.98,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/02,0,1.6,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/02,0,0.92,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/02,0,0.56,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/02,0,0.7,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0,
DE,2,AACHEN(RWTH),6.1,50.76,86/05/03,0,0,
