id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_komoditas,produksi_sayuran,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAWANG DAUN,3245.0,TON,2013
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAWANG MERAH,10.0,TON,2013
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAWANG PUTIH,0.0,TON,2013
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,BAYAM,11429.0,TON,2013
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,BLEWAH,0.0,TON,2013
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,BUNCIS,5756.0,TON,2013
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,CABE BESAR,2232.0,TON,2013
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,CABE RAWIT,963.0,TON,2013
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,JAMUR,3769320.0,TON,2013
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,KACANG MERAH,308.0,TON,2013
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,KACANG PANJANG,10548.0,TON,2013
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,KANGKUNG,17087.0,TON,2013
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,KEMBANG KOL,174.0,TON,2013
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,KENTANG,85.0,TON,2013
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,KETIMUN,9174.0,TON,2013
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,KUBIS,527.0,TON,2013
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,LABU SIAM,826.0,TON,2013
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,LOBAK,0.0,TON,2013
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,MELON,0.0,TON,2013
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,PAPRIKA,0.0,TON,2013
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,PETSAI/SAWI,3396.0,TON,2013
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEMANGKA,106.0,TON,2013
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,STROBERI,0.0,TON,2013
24,32,JAWA BARAT,3201,KABUPATEN BOGOR,TERUNG,7947.0,TON,2013
25,32,JAWA BARAT,3201,KABUPATEN BOGOR,TOMAT,4131.0,TON,2013
26,32,JAWA BARAT,3201,KABUPATEN BOGOR,WORTEL,2849.0,TON,2013
27,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAWANG DAUN,4159.0,TON,2013
28,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAWANG MERAH,285.0,TON,2013
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAWANG PUTIH,0.0,TON,2013
30,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BAYAM,67.0,TON,2013
31,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BLEWAH,0.0,TON,2013
32,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,BUNCIS,11664.0,TON,2013
33,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CABE BESAR,10011.0,TON,2013
34,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,CABE RAWIT,5730.0,TON,2013
35,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JAMUR,148783.0,TON,2013
36,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KACANG MERAH,1463.0,TON,2013
37,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KACANG PANJANG,15921.0,TON,2013
38,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KANGKUNG,295.0,TON,2013
39,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KEMBANG KOL,217.0,TON,2013
40,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KENTANG,928.0,TON,2013
41,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KETIMUN,21180.0,TON,2013
42,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KUBIS,5277.0,TON,2013
43,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LABU SIAM,7490.0,TON,2013
44,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LOBAK,12.0,TON,2013
45,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MELON,20.0,TON,2013
46,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PAPRIKA,0.0,TON,2013
47,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PETSAI/SAWI,17950.0,TON,2013
48,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEMANGKA,2744.0,TON,2013
49,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,STROBERI,0.0,TON,2013
50,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TERUNG,12063.0,TON,2013
51,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TOMAT,19677.0,TON,2013
52,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,WORTEL,1367.0,TON,2013
53,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAWANG DAUN,35188.0,TON,2013
54,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAWANG MERAH,183.0,TON,2013
55,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAWANG PUTIH,0.0,TON,2013
56,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BAYAM,204.0,TON,2013
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BLEWAH,0.0,TON,2013
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,BUNCIS,24912.0,TON,2013
59,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CABE BESAR,59280.0,TON,2013
60,32,JAWA BARAT,3203,KABUPATEN CIANJUR,CABE RAWIT,37918.0,TON,2013
61,32,JAWA BARAT,3203,KABUPATEN CIANJUR,JAMUR,745920.0,TON,2013
62,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KACANG MERAH,4662.0,TON,2013
63,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KACANG PANJANG,14354.0,TON,2013
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KANGKUNG,1205.0,TON,2013
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KEMBANG KOL,5872.0,TON,2013
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KENTANG,268.0,TON,2013
67,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KETIMUN,14267.0,TON,2013
68,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KUBIS,23185.0,TON,2013
69,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LABU SIAM,3282.0,TON,2013
70,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LOBAK,4249.0,TON,2013
71,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MELON,0.0,TON,2013
72,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PAPRIKA,56.0,TON,2013
73,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PETSAI/SAWI,49826.0,TON,2013
74,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEMANGKA,0.0,TON,2013
75,32,JAWA BARAT,3203,KABUPATEN CIANJUR,STROBERI,0.0,TON,2013
76,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TERUNG,14819.0,TON,2013
77,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TOMAT,93383.0,TON,2013
78,32,JAWA BARAT,3203,KABUPATEN CIANJUR,WORTEL,37677.0,TON,2013
