,job,marital,education,default,housing,loan,contact,poutcome,age_bin,result_from_ward
0,retired,married,basic.4y,unknown,yes,no,telephone,nonexistent,50-60,1
1,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,30-40,1
2,technician,single,university.degree,no,no,no,cellular,nonexistent,30-40,0
3,blue-collar,married,basic.6y,no,no,no,telephone,nonexistent,30-40,1
4,technician,married,university.degree,no,yes,no,cellular,nonexistent,30-40,0
5,management,married,university.degree,unknown,no,no,cellular,nonexistent,50-60,2
6,blue-collar,married,basic.9y,no,no,no,telephone,nonexistent,30-40,1
7,blue-collar,divorced,high.school,no,no,no,telephone,nonexistent,50-60,1
8,admin.,married,high.school,no,no,no,cellular,nonexistent,20-30,1
9,self-employed,divorced,university.degree,no,yes,no,cellular,nonexistent,50-60,0
10,technician,married,unknown,no,yes,no,cellular,failure,60-70,0
11,technician,married,professional.course,no,yes,no,telephone,nonexistent,30-40,0
12,admin.,single,university.degree,no,no,yes,cellular,nonexistent,30-40,2
13,admin.,single,high.school,no,no,yes,cellular,nonexistent,20-30,1
14,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
15,technician,married,professional.course,no,no,no,cellular,nonexistent,30-40,0
16,technician,married,professional.course,no,no,no,cellular,nonexistent,40-50,0
17,admin.,married,university.degree,no,no,no,cellular,nonexistent,40-50,2
18,technician,married,high.school,no,no,no,cellular,nonexistent,30-40,0
19,blue-collar,married,basic.4y,no,yes,no,telephone,success,30-40,1
20,technician,married,professional.course,no,no,yes,telephone,nonexistent,30-40,0
21,technician,married,basic.9y,no,no,no,telephone,nonexistent,30-40,0
22,technician,married,university.degree,no,yes,no,cellular,nonexistent,20-30,0
23,technician,married,high.school,no,yes,no,telephone,nonexistent,40-50,0
24,technician,single,university.degree,no,yes,no,cellular,nonexistent,30-40,0
25,admin.,single,high.school,no,yes,no,cellular,nonexistent,30-40,1
26,services,married,high.school,no,yes,no,telephone,nonexistent,30-40,0
27,admin.,married,university.degree,no,yes,no,cellular,nonexistent,30-40,2
28,technician,single,professional.course,no,yes,yes,cellular,nonexistent,20-30,0
29,technician,married,high.school,no,no,no,cellular,nonexistent,60-70,0
30,blue-collar,single,basic.9y,no,no,no,cellular,nonexistent,20-30,1
31,blue-collar,married,basic.4y,no,no,no,cellular,nonexistent,50-60,1
32,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
33,technician,single,professional.course,no,yes,no,cellular,nonexistent,20-30,0
34,blue-collar,single,high.school,no,no,yes,cellular,nonexistent,20-30,1
35,technician,single,professional.course,no,yes,no,cellular,nonexistent,30-40,0
36,admin.,single,university.degree,no,no,no,telephone,nonexistent,20-30,2
37,blue-collar,single,basic.4y,no,yes,no,telephone,nonexistent,40-50,1
38,blue-collar,married,basic.9y,unknown,yes,no,telephone,nonexistent,30-40,1
39,admin.,divorced,high.school,no,yes,no,cellular,nonexistent,30-40,1
40,services,divorced,high.school,no,yes,no,cellular,nonexistent,40-50,1
41,admin.,married,university.degree,unknown,no,no,cellular,nonexistent,30-40,2
42,retired,divorced,basic.4y,no,yes,no,cellular,nonexistent,70-80,1
43,technician,married,high.school,no,yes,no,cellular,nonexistent,30-40,0
44,admin.,married,high.school,unknown,no,no,cellular,nonexistent,30-40,1
45,technician,single,professional.course,no,yes,yes,cellular,nonexistent,30-40,0
46,retired,divorced,basic.4y,unknown,yes,no,cellular,failure,70-80,1
47,unemployed,single,professional.course,no,no,no,telephone,nonexistent,30-40,0
48,admin.,single,high.school,no,yes,yes,cellular,nonexistent,30-40,1
49,blue-collar,divorced,basic.6y,no,yes,no,telephone,nonexistent,50-60,1
50,blue-collar,married,basic.6y,unknown,yes,no,cellular,nonexistent,30-40,1
51,blue-collar,married,basic.6y,no,yes,no,telephone,failure,40-50,1
52,admin.,single,university.degree,no,yes,no,cellular,nonexistent,30-40,2
53,admin.,single,university.degree,no,no,no,cellular,nonexistent,30-40,2
54,services,married,high.school,no,yes,no,cellular,failure,50-60,1
55,admin.,single,high.school,no,no,no,cellular,nonexistent,20-30,1
56,technician,married,basic.9y,no,no,no,cellular,success,20-30,0
57,technician,married,professional.course,no,no,no,telephone,nonexistent,30-40,0
58,admin.,divorced,university.degree,no,yes,no,cellular,failure,40-50,2
59,unknown,married,high.school,unknown,yes,no,cellular,nonexistent,40-50,0
60,retired,divorced,professional.course,no,no,no,cellular,nonexistent,60-70,2
61,blue-collar,single,basic.6y,unknown,no,no,cellular,nonexistent,20-30,1
62,retired,divorced,high.school,no,no,no,cellular,failure,50-60,1
63,admin.,married,high.school,no,yes,no,telephone,nonexistent,20-30,1
64,student,single,university.degree,unknown,yes,no,cellular,nonexistent,20-30,0
65,services,single,basic.9y,no,no,no,cellular,nonexistent,20-30,0
66,technician,married,university.degree,no,no,yes,cellular,nonexistent,20-30,0
67,services,married,high.school,no,yes,no,cellular,nonexistent,20-30,0
68,services,married,basic.9y,no,yes,no,telephone,nonexistent,30-40,0
69,blue-collar,married,basic.9y,no,no,yes,telephone,nonexistent,30-40,1
70,blue-collar,married,basic.9y,unknown,no,no,cellular,nonexistent,40-50,1
71,technician,married,high.school,no,yes,no,telephone,nonexistent,30-40,0
72,admin.,married,high.school,no,yes,no,telephone,nonexistent,30-40,1
73,admin.,divorced,university.degree,unknown,no,no,cellular,nonexistent,40-50,2
74,admin.,single,university.degree,no,yes,no,telephone,nonexistent,30-40,2
75,entrepreneur,married,university.degree,no,yes,yes,telephone,nonexistent,30-40,2
76,management,married,university.degree,no,yes,yes,telephone,success,30-40,2
77,technician,single,basic.6y,no,no,no,telephone,nonexistent,50-60,0
78,blue-collar,married,basic.9y,no,yes,no,telephone,nonexistent,40-50,1
79,blue-collar,married,basic.9y,no,no,no,cellular,nonexistent,20-30,1
80,blue-collar,married,basic.4y,no,no,no,cellular,nonexistent,20-30,1
81,management,single,high.school,no,no,yes,cellular,failure,30-40,1
82,management,single,basic.9y,no,yes,no,cellular,failure,20-30,1
83,blue-collar,divorced,basic.4y,unknown,yes,no,cellular,nonexistent,40-50,1
84,blue-collar,married,basic.6y,unknown,unknown,unknown,cellular,nonexistent,30-40,1
