,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
33498,32835,Operations,region_10,Bachelor's,f,other,1,30,1.0,5,0,56.0,0
31110,72340,Operations,region_2,Below Secondary,m,sourcing,1,23,4.0,2,0,62.0,0
47412,52336,Sales & Marketing,region_31,Bachelor's,f,sourcing,1,34,5.0,4,0,54.0,0
9900,75679,Finance,region_26,Bachelor's,f,other,1,25,,1,0,59.0,0
39275,72476,Operations,region_27,Bachelor's,m,sourcing,1,33,3.0,8,0,57.0,0
48061,52430,Technology,region_13,Bachelor's,m,other,1,34,3.0,5,0,81.0,0
37126,14998,Technology,region_2,Bachelor's,f,sourcing,1,28,1.0,3,0,81.0,0
5069,72210,HR,region_2,Bachelor's,f,other,1,35,3.0,3,0,47.0,0
45239,20938,Finance,region_13,,m,other,1,29,4.0,3,0,63.0,0
39767,30660,Analytics,region_22,Master's & above,m,sourcing,3,38,5.0,9,0,88.0,0
26354,55889,Technology,region_27,Bachelor's,m,other,1,30,3.0,4,0,79.0,0
16736,33755,Finance,region_2,Bachelor's,f,other,1,38,3.0,3,0,56.0,0
18812,64171,Sales & Marketing,region_26,Master's & above,m,other,1,36,5.0,2,0,52.0,0
3437,5680,Analytics,region_19,Bachelor's,m,other,1,37,4.0,8,0,83.0,0
1143,45557,Sales & Marketing,region_15,Bachelor's,m,other,1,33,4.0,8,0,52.0,0
49409,63742,Sales & Marketing,region_17,Bachelor's,m,other,2,31,,1,0,43.0,0
2226,21431,Sales & Marketing,region_1,Master's & above,f,sourcing,1,32,4.0,5,0,49.0,0
40624,31368,Operations,region_16,Bachelor's,m,other,2,30,4.0,3,0,59.0,0
33676,78271,Technology,region_16,Bachelor's,m,other,1,30,3.0,2,0,76.0,0
23169,41077,Technology,region_22,Bachelor's,m,sourcing,2,30,3.0,6,0,82.0,0
50064,35685,Technology,region_11,Bachelor's,f,other,1,25,2.0,3,0,85.0,0
45342,60723,Operations,region_19,Master's & above,f,other,1,40,5.0,4,0,65.0,0
10335,12326,Procurement,region_17,Bachelor's,f,sourcing,1,35,3.0,3,0,64.0,0
40402,9937,Operations,region_11,Bachelor's,m,sourcing,1,34,4.0,3,0,59.0,0
25374,17787,Analytics,region_4,Master's & above,m,other,2,38,3.0,10,0,86.0,0
12988,61945,Sales & Marketing,region_27,,m,other,1,26,,1,0,48.0,0
20805,36943,Technology,region_24,Bachelor's,f,sourcing,1,26,2.0,2,0,80.0,0
42977,44542,Analytics,region_22,Bachelor's,f,other,1,27,3.0,4,0,89.0,0
21465,23113,Sales & Marketing,region_13,Bachelor's,m,other,1,47,4.0,3,0,46.0,0
35671,35306,Technology,region_26,Bachelor's,m,sourcing,1,32,5.0,6,0,77.0,1
4828,20096,Analytics,region_22,,m,other,1,27,4.0,3,0,83.0,0
41473,65064,Analytics,region_2,Bachelor's,m,sourcing,1,47,5.0,18,0,84.0,0
35029,19459,Sales & Marketing,region_12,Bachelor's,m,other,1,39,2.0,4,0,49.0,0
48113,47360,Operations,region_2,Bachelor's,f,other,1,33,4.0,6,0,58.0,0
9653,51338,Technology,region_23,Bachelor's,m,other,1,30,4.0,2,0,79.0,0
38517,72706,Sales & Marketing,region_2,Master's & above,m,sourcing,2,57,1.0,5,0,53.0,0
42646,33510,Technology,region_17,Bachelor's,f,sourcing,1,31,4.0,6,0,80.0,1
25702,56451,Technology,region_5,Bachelor's,f,sourcing,1,40,,1,0,85.0,0
33306,45817,Sales & Marketing,region_26,Bachelor's,f,sourcing,2,28,3.0,6,0,51.0,0
28455,58404,Finance,region_22,Bachelor's,m,sourcing,3,27,3.0,5,0,60.0,0
38065,36934,HR,region_22,Bachelor's,m,other,1,28,3.0,2,0,56.0,0
51275,69689,Sales & Marketing,region_2,Bachelor's,m,other,4,25,2.0,2,0,49.0,0
1025,16981,Procurement,region_27,Master's & above,m,sourcing,1,38,4.0,10,0,68.0,0
47996,12239,Sales & Marketing,region_7,,m,other,1,21,,1,0,49.0,0
41953,9693,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,24,2.0,2,0,56.0,0
37495,21678,Operations,region_7,Master's & above,f,other,1,41,5.0,7,1,59.0,0
10136,37226,Technology,region_2,Bachelor's,m,referred,1,40,5.0,2,1,80.0,0
3730,10165,Sales & Marketing,region_3,Bachelor's,m,other,1,29,,1,0,,0
38766,68528,Sales & Marketing,region_27,Bachelor's,m,other,1,35,3.0,6,0,48.0,0
35043,31999,Finance,region_2,Below Secondary,f,other,1,23,,1,0,60.0,0
29402,46224,Finance,region_24,Bachelor's,m,other,1,31,3.0,6,0,59.0,0
13732,70375,Procurement,region_17,Bachelor's,f,sourcing,1,27,1.0,4,0,70.0,0
21749,8599,Legal,region_22,Bachelor's,m,sourcing,1,27,,1,0,59.0,0
15448,25508,Procurement,region_2,Bachelor's,f,referred,1,35,3.0,9,0,67.0,0
36034,17823,Operations,region_2,Master's & above,f,sourcing,1,39,4.0,10,0,,0
25146,40671,Analytics,region_19,Bachelor's,m,sourcing,1,39,3.0,4,0,89.0,0
8839,4967,Procurement,region_17,Bachelor's,f,sourcing,1,53,3.0,17,0,74.0,0
52037,43955,Sales & Marketing,region_2,Bachelor's,f,other,3,41,3.0,3,0,51.0,0
