,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted,age_viz,age_rank,avg_training_score_viz,rank_avg_training_score
0,1,7,3,2,2,1,35,5,8,0,49,0,31-40,4,10-20,1
1,2,22,2,1,3,1,30,5,4,0,60,0,21-30,3,21-30,2
2,1,19,2,1,2,1,34,3,7,0,50,0,31-40,4,10-20,1
3,1,23,2,1,3,2,39,1,10,0,50,0,31-40,4,10-20,1
4,3,26,2,1,3,1,45,3,2,0,73,0,41-50,5,71-80,5
5,4,2,2,1,2,2,31,3,7,0,85,0,31-40,4,above 80,6
6,2,20,2,2,3,1,31,3,5,0,59,0,31-40,4,21-30,2
7,2,34,3,1,2,1,33,3,6,0,63,0,31-40,4,61-70,4
8,4,20,2,1,3,1,28,4,5,0,83,0,21-30,3,above 80,6
9,1,1,3,1,2,1,32,5,5,0,54,0,31-40,4,21-30,2
10,3,23,2,1,2,1,30,3,1,0,77,0,21-30,3,71-80,5
11,1,7,2,2,2,1,35,5,3,0,50,1,31-40,4,10-20,1
12,1,4,2,1,2,1,49,5,5,0,49,0,41-50,5,10-20,1
13,3,29,3,1,3,2,39,3,16,0,80,0,31-40,4,71-80,5
14,5,2,3,1,2,1,37,3,7,0,84,0,31-40,4,above 80,6
15,2,7,2,1,3,1,37,1,10,0,60,0,31-40,4,21-30,2
16,3,2,2,1,3,1,38,3,5,0,77,0,31-40,4,71-80,5
17,1,31,2,1,3,1,34,1,4,0,51,0,31-40,4,21-30,2
18,1,31,2,1,3,1,34,5,8,0,46,0,31-40,4,10-20,1
19,2,15,2,1,3,1,37,3,9,0,59,0,31-40,4,21-30,2
20,6,14,2,1,3,1,35,3,7,0,75,0,31-40,4,71-80,5
21,2,15,2,1,2,1,41,4,11,0,57,0,41-50,5,21-30,2
22,7,11,2,2,3,1,28,3,4,0,63,0,21-30,3,61-70,4
23,6,5,2,1,3,1,27,3,1,0,70,0,21-30,3,61-70,4
24,7,22,3,1,2,2,39,5,7,0,59,0,31-40,4,21-30,2
25,3,22,2,1,3,1,27,5,3,0,83,0,21-30,3,above 80,6
26,6,26,2,1,3,1,31,5,4,0,68,0,31-40,4,61-70,4
27,3,26,2,1,3,1,33,4,4,0,79,0,31-40,4,71-80,5
28,4,5,2,1,3,1,29,5,3,0,80,0,21-30,3,71-80,5
29,1,4,2,1,2,1,26,3,1,0,44,0,21-30,3,10-20,1
30,6,15,2,1,2,1,37,5,10,0,72,0,31-40,4,71-80,5
31,7,31,2,1,3,2,26,1,2,0,60,0,21-30,3,above 80,6
32,1,7,2,2,2,1,24,1,2,0,48,0,21-30,3,10-20,1
33,2,2,2,1,2,2,57,4,6,0,58,0,51-60,6,21-30,2
34,4,22,2,1,3,2,27,5,3,0,87,0,21-30,3,above 80,6
35,1,22,2,1,3,1,40,2,4,0,47,0,31-40,4,10-20,1
36,3,28,2,1,2,1,33,4,4,0,75,0,31-40,4,71-80,5
37,1,7,2,2,2,1,40,5,3,0,47,0,31-40,4,10-20,1
38,1,1,3,1,3,1,42,5,5,0,51,0,41-50,5,21-30,2
39,1,28,2,1,2,1,33,5,6,0,51,1,31-40,4,21-30,2
40,3,15,2,1,3,1,34,3,10,0,80,0,31-40,4,71-80,5
41,2,2,2,2,3,2,23,4,2,0,57,0,21-30,3,21-30,2
42,8,2,2,1,2,1,59,4,26,0,52,0,51-60,6,21-30,2
43,1,2,2,1,3,3,24,2,2,0,48,0,21-30,3,10-20,1
44,4,2,2,1,3,1,44,5,12,0,88,0,41-50,5,above 80,6
45,6,17,2,2,2,1,50,5,11,0,71,0,41-50,5,71-80,5
46,6,13,3,2,3,1,37,4,4,0,71,0,31-40,4,71-80,5
47,3,16,2,1,2,1,40,3,11,0,80,0,31-40,4,71-80,5
48,1,20,2,1,2,1,30,3,3,0,49,0,21-30,3,10-20,1
49,6,2,3,2,2,1,56,3,12,0,73,0,51-60,6,71-80,5
50,7,2,2,1,2,1,20,4,2,0,60,0,10-20,2,21-30,2
51,1,25,2,2,2,1,31,3,8,0,48,0,31-40,4,10-20,1
52,6,15,2,1,2,1,40,3,12,0,65,0,31-40,4,61-70,4
53,8,22,2,1,3,1,30,1,6,0,50,0,21-30,3,10-20,1
54,2,22,2,1,3,1,39,3,5,0,62,0,31-40,4,61-70,4
55,4,31,2,1,3,2,26,2,2,0,85,0,21-30,3,above 80,6
56,1,31,2,2,3,1,29,3,1,0,49,0,21-30,3,10-20,1
57,5,22,3,1,2,1,40,3,5,0,84,0,31-40,4,above 80,6
